triplet;kappa;theta;sigma;rho;price;err;exec_time
106;0.7500;0.0500;0.2200;-0.8500;0.111086;0.001498;1.34
107;0.7500;0.0500;0.2400;-0.8500;0.112920;0.001495;1.34
108;0.7500;0.0500;0.2600;-0.8500;0.110770;0.001459;1.34
109;0.7500;0.0500;0.2800;-0.8500;0.110665;0.001439;1.34
110;0.7500;0.0600;0.1000;-0.8500;0.116298;0.001692;1.34
111;0.7500;0.0600;0.1200;-0.8500;0.116154;0.001665;1.34
112;0.7500;0.0600;0.1400;-0.8500;0.115382;0.001633;1.34
113;0.7500;0.0600;0.1600;-0.8500;0.114693;0.001613;1.34
114;0.7500;0.0600;0.1800;-0.8500;0.115304;0.001594;1.34
115;0.7500;0.0600;0.2000;-0.8500;0.114083;0.001561;1.34
116;0.7500;0.0600;0.2200;-0.8500;0.113530;0.001538;1.34
117;0.7500;0.0600;0.2400;-0.8500;0.114037;0.001523;1.34
118;0.7500;0.0600;0.2600;-0.8500;0.112181;0.001489;1.34
119;0.7500;0.0600;0.2800;-0.8500;0.112409;0.001473;1.34
120;0.7500;0.0700;0.1000;-0.8500;0.119940;0.001745;1.34
121;0.7500;0.0700;0.1200;-0.8500;0.119448;0.001718;1.34
122;0.7500;0.0700;0.1400;-0.8500;0.118074;0.001677;1.34
123;0.7500;0.0700;0.1600;-0.8500;0.117507;0.001645;1.34
124;0.7500;0.0700;0.1800;-0.8500;0.117493;0.001632;1.34
125;0.7500;0.0700;0.2000;-0.8500;0.117583;0.001613;1.34
126;0.7500;0.0700;0.2200;-0.8500;0.116071;0.001578;1.34
127;0.7500;0.0700;0.2400;-0.8500;0.116211;0.001558;1.34
128;0.7500;0.0700;0.2600;-0.8500;0.115853;0.001540;1.34
129;0.7500;0.0700;0.2800;-0.8500;0.113815;0.001506;1.34
130;0.7500;0.0800;0.1000;-0.8500;0.120242;0.001759;1.34
131;0.7500;0.0800;0.1200;-0.8500;0.119482;0.001733;1.34
132;0.7500;0.0800;0.1400;-0.8500;0.119130;0.001706;1.34
133;0.7500;0.0800;0.1600;-0.8500;0.120491;0.001697;1.34
134;0.7500;0.0800;0.1800;-0.8500;0.118706;0.001655;1.34
135;0.7500;0.0800;0.2000;-0.8500;0.118522;0.001636;1.34
136;0.7500;0.0800;0.2200;-0.8500;0.118559;0.001622;1.34
137;0.7500;0.0800;0.2400;-0.8500;0.118004;0.001592;1.34
138;0.7500;0.0800;0.2600;-0.8500;0.116549;0.001562;1.34
139;0.7500;0.0800;0.2800;-0.8500;0.116605;0.001546;1.34
140;0.7500;0.0900;0.1000;-0.8500;0.122318;0.001791;1.34
141;0.7500;0.0900;0.1200;-0.8500;0.121977;0.001772;1.34
142;0.7500;0.0900;0.1400;-0.8500;0.122234;0.001751;1.34
143;0.7500;0.0900;0.1600;-0.8500;0.122180;0.001725;1.34
144;0.7500;0.0900;0.1800;-0.8500;0.120508;0.001691;1.34
145;0.7500;0.0900;0.2000;-0.8500;0.120860;0.001681;1.34
146;0.7500;0.0900;0.2200;-0.8500;0.120035;0.001647;1.34
147;0.7500;0.0900;0.2400;-0.8500;0.120617;0.001630;1.34
148;0.7500;0.0900;0.2600;-0.8500;0.119126;0.001597;1.34
149;0.7500;0.0900;0.2800;-0.8500;0.119193;0.001580;1.34
150;0.7500;0.1000;0.1000;-0.8500;0.123949;0.001826;1.34
151;0.7500;0.1000;0.1200;-0.8500;0.126512;0.001834;1.34
152;0.7500;0.1000;0.1400;-0.8500;0.124686;0.001787;1.34
153;0.7500;0.1000;0.1600;-0.8500;0.122627;0.001743;1.34
154;0.7500;0.1000;0.1800;-0.8500;0.122575;0.001723;1.34
155;0.7500;0.1000;0.2000;-0.8500;0.121838;0.001701;1.34
156;0.7500;0.1000;0.2200;-0.8500;0.122019;0.001678;1.34
157;0.7500;0.1000;0.2400;-0.8500;0.121207;0.001655;1.34
158;0.7500;0.1000;0.2600;-0.8500;0.121822;0.001640;1.34
159;0.7500;0.1000;0.2800;-0.8500;0.119858;0.001605;1.34
160;0.7500;0.1100;0.1000;-0.8500;0.126429;0.001861;1.34
161;0.7500;0.1100;0.1200;-0.8500;0.125396;0.001830;1.34
162;0.7500;0.1100;0.1400;-0.8500;0.125617;0.001812;1.34
163;0.7500;0.1100;0.1600;-0.8500;0.125914;0.001794;1.34
164;0.7500;0.1100;0.1800;-0.8500;0.126026;0.001776;1.34
165;0.7500;0.1100;0.2000;-0.8500;0.123411;0.001733;1.34
166;0.7500;0.1100;0.2200;-0.8500;0.122754;0.001694;1.34
167;0.7500;0.1100;0.2400;-0.8500;0.122348;0.001682;1.34
168;0.7500;0.1100;0.2600;-0.8500;0.121947;0.001657;1.34
169;0.7500;0.1100;0.2800;-0.8500;0.122459;0.001649;1.34
170;0.7500;0.1200;0.1000;-0.8500;0.126829;0.001880;1.34
171;0.7500;0.1200;0.1200;-0.8500;0.129449;0.001891;1.34
172;0.7500;0.1200;0.1400;-0.8500;0.127220;0.001848;1.34
173;0.7500;0.1200;0.1600;-0.8500;0.127354;0.001816;1.34
174;0.7500;0.1200;0.1800;-0.8500;0.128152;0.001809;1.34
175;0.7500;0.1200;0.2000;-0.8500;0.124725;0.001753;1.34
176;0.7500;0.1200;0.2200;-0.8500;0.124838;0.001739;1.34
177;0.7500;0.1200;0.2400;-0.8500;0.125376;0.001724;1.34
178;0.7500;0.1200;0.2600;-0.8500;0.124116;0.001691;1.34
179;0.7500;0.1200;0.2800;-0.8500;0.122905;0.001663;1.34
180;0.7500;0.1300;0.1000;-0.8500;0.131288;0.001940;1.34
181;0.7500;0.1300;0.1200;-0.8500;0.128899;0.001896;1.34
182;0.7500;0.1300;0.1400;-0.8500;0.129184;0.001878;1.34
183;0.7500;0.1300;0.1600;-0.8500;0.128910;0.001849;1.34
184;0.7500;0.1300;0.1800;-0.8500;0.127877;0.001823;1.34
185;0.7500;0.1300;0.2000;-0.8500;0.128472;0.001807;1.34
186;0.7500;0.1300;0.2200;-0.8500;0.128459;0.001793;1.34
187;0.7500;0.1300;0.2400;-0.8500;0.127737;0.001763;1.34
188;0.7500;0.1300;0.2600;-0.8500;0.127202;0.001735;1.34
189;0.7500;0.1300;0.2800;-0.8500;0.127352;0.001721;1.34
190;0.7500;0.1400;0.1000;-0.8500;0.131850;0.001960;1.34
191;0.7500;0.1400;0.1200;-0.8500;0.130762;0.001928;1.34
192;0.7500;0.1400;0.1400;-0.8500;0.130431;0.001909;1.34
193;0.7500;0.1400;0.1600;-0.8500;0.129824;0.001876;1.34
194;0.7500;0.1400;0.1800;-0.8500;0.129145;0.001847;1.34
195;0.7500;0.1400;0.2000;-0.8500;0.130289;0.001838;1.34
196;0.7500;0.1400;0.2200;-0.8500;0.130576;0.001822;1.34
197;0.7500;0.1400;0.2400;-0.8500;0.128269;0.001779;1.34
198;0.7500;0.1400;0.2600;-0.8500;0.127560;0.001753;1.34
199;0.7500;0.1400;0.2800;-0.8500;0.126007;0.001721;1.34
200;1.0000;0.0500;0.1000;-0.7500;0.111438;0.001632;1.34
201;1.0000;0.0500;0.1200;-0.7500;0.112767;0.001628;1.34
202;1.0000;0.0500;0.1400;-0.7500;0.113141;0.001611;1.34
203;1.0000;0.0500;0.1600;-0.7500;0.112302;0.001583;1.34
204;1.0000;0.0500;0.1800;-0.7500;0.111670;0.001563;1.34
205;1.0000;0.0500;0.2000;-0.7500;0.111550;0.001548;1.34
206;1.0000;0.0500;0.2200;-0.7500;0.110433;0.001521;1.34
207;1.0000;0.0500;0.2400;-0.7500;0.110892;0.001508;1.34
208;1.0000;0.0500;0.2600;-0.7500;0.109246;0.001476;1.34
209;1.0000;0.0500;0.2800;-0.7500;0.109169;0.001462;1.34
210;1.0000;0.0600;0.1000;-0.7500;0.115139;0.001683;1.34
211;1.0000;0.0600;0.1200;-0.7500;0.114728;0.001660;1.34
212;1.0000;0.0600;0.1400;-0.7500;0.114025;0.001636;1.34
