triplet;kappa;theta;sigma;rho;price;err;exec_time
144;0.7500;0.0900;0.1800;-0.8500;0.117651;0.001659;110.94
145;0.7500;0.0900;0.2000;-0.8500;0.116112;0.001624;110.94
146;0.7500;0.0900;0.2200;-0.8500;0.115692;0.001606;110.94
147;0.7500;0.0900;0.2400;-0.8500;0.115196;0.001586;110.94
148;0.7500;0.0900;0.2600;-0.8500;0.114130;0.001570;110.94
149;0.7500;0.0900;0.2800;-0.8500;0.115700;0.001555;110.94
150;0.7500;0.1000;0.1000;-0.8500;0.123390;0.001812;110.94
151;0.7500;0.1000;0.1200;-0.8500;0.123402;0.001792;110.94
152;0.7500;0.1000;0.1400;-0.8500;0.125313;0.001796;110.94
153;0.7500;0.1000;0.1600;-0.8500;0.121526;0.001727;110.94
154;0.7500;0.1000;0.1800;-0.8500;0.119596;0.001688;110.94
155;0.7500;0.1000;0.2000;-0.8500;0.119981;0.001678;110.94
156;0.7500;0.1000;0.2200;-0.8500;0.116582;0.001638;110.94
157;0.7500;0.1000;0.2400;-0.8500;0.115377;0.001603;110.94
158;0.7500;0.1000;0.2600;-0.8500;0.117421;0.001608;110.94
159;0.7500;0.1000;0.2800;-0.8500;0.116688;0.001582;110.94
160;0.7500;0.1100;0.1000;-0.8500;0.126207;0.001857;110.94
161;0.7500;0.1100;0.1200;-0.8500;0.126544;0.001844;110.94
162;0.7500;0.1100;0.1400;-0.8500;0.125252;0.001809;110.94
163;0.7500;0.1100;0.1600;-0.8500;0.123647;0.001770;110.94
164;0.7500;0.1100;0.1800;-0.8500;0.125227;0.001766;110.94
165;0.7500;0.1100;0.2000;-0.8500;0.119737;0.001685;110.94
166;0.7500;0.1100;0.2200;-0.8500;0.118826;0.001668;110.94
167;0.7500;0.1100;0.2400;-0.8500;0.118451;0.001650;110.94
168;0.7500;0.1100;0.2600;-0.8500;0.117498;0.001626;110.94
169;0.7500;0.1100;0.2800;-0.8500;0.117962;0.001612;110.94
170;0.7500;0.1200;0.1000;-0.8500;0.128097;0.001894;110.94
171;0.7500;0.1200;0.1200;-0.8500;0.127240;0.001862;110.94
172;0.7500;0.1200;0.1400;-0.8500;0.126428;0.001831;110.94
173;0.7500;0.1200;0.1600;-0.8500;0.124673;0.001786;110.94
174;0.7500;0.1200;0.1800;-0.8500;0.125270;0.001775;110.94
175;0.7500;0.1200;0.2000;-0.8500;0.122808;0.001726;110.94
176;0.7500;0.1200;0.2200;-0.8500;0.121373;0.001712;110.94
177;0.7500;0.1200;0.2400;-0.8500;0.119341;0.001668;110.94
